titles,descriptions,authors,times,links
7 Best Practices for Video SEO to Drive More Traffic to Your Website,"Most of the user just bounces off from your site if you don’t have any fascinating contents, and this is where you can leverage the power of video. If you",Pavan,"May 4, 2014",https://www.opencodez.com/seo-and-content-marketing/7-best-practices-for-video-seo-to-drive-more-traffic-to-your-website.htm
What Are Some of the Trends in Copywriting and Content Marketing in 2014?,"When you are a freelance copywriter, the process of learning never really ends. You always need to be growing, challenging yourself and learning new skills in order to get ahead",Pavan,"Apr 30, 2014",https://www.opencodez.com/seo-and-content-marketing/what-are-some-of-the-trends-in-copywriting-and-content-marketing-in-2014.htm
"CMS for eCommerce Comparison: WordPress, Magento and Drupal",Choosing a content management system (CMS) for eCommerce can be the biggest hurdle to overcome. With so many options available – each with its own strengths and weaknesses – it’s,Pavan,"Apr 28, 2014",https://www.opencodez.com/how-to-guide/cms-for-ecommerce-comparison-wordpress-magento-and-drupal.htm
How to Add a Shortcode in WordPress,Ever wanted to add some specialized content to your websites post or page and at the same time you don’t want to have heavy footprint of any third party plugin?,Pavan,"Apr 21, 2014",https://www.opencodez.com/wordpress-2/how-to-add-a-shortcode-in-wordpress.htm
The Importance of Diversity in Link Building,"Link building can be a very valuable weapon in your SEO arsenal, so it is important to do it right. When you are building your links, you can make the",Pavan,"Apr 8, 2014",https://www.opencodez.com/how-to-guide/the-importance-of-diversity-in-link-building.htm
A Handy Guide to Creating Your Small Business’s First Website,"Whilst social media platforms such as Facebook, Linked In and Twitter may appear to have monopolised the internet over the past few years (and it is vitally important that your business has a",Pavan,"Apr 2, 2014",https://www.opencodez.com/how-to-guide/a-handy-guide-to-creating-your-small-businesss-first-website.htm
Top 5 Best WordPress Plugins Your Website Must Have,Millions of website supported by WordPress are coming up everyday. WordPress is a complete website solution but sometimes you need bit more than a CMS system to establish yourself online.,Pavan,"Mar 27, 2014",https://www.opencodez.com/wordpress-2/top-5-best-wordpress-plugins-your-website-must-have.htm
How to Setup ECommerce for WordPress Website,"Every business old or new, need a strong online presence to reach out to millions of people across the globe. If you are planning to sell something then mere creating",Pavan,"Mar 10, 2014",https://www.opencodez.com/web-development/how-to-setup-ecommerce-for-your-wordpress-website.htm
How to Add CSS Animation to a Website Easily with Animate.css,"With every growing new day web is evolving, people are coming out with lots of new ideas and stuff to attract billions of internet savvy people. Web 2.0, HTML 5",Pavan,"Feb 18, 2014",https://www.opencodez.com/web-development/how-to-add-css-animation-to-website-easily.htm
Setting up – Free Premium WordPress Theme – Aadya – Part 2,This is the second and last article in our 2 article series on how to configure Free Premium WordPress Theme Aadya. As iterated earlier the theme has premium features which can,Pavan,"Jan 6, 2014",https://www.opencodez.com/wordpress-2/setting-up-free-premium-wordpress-theme-aadya-part-2.htm
Setting up – Free Premium WordPress Theme – Aadya – Part 1,As shared already We have released one more awesome WordPress theme – Aadya. This time also we have built this theme on famous Twitter Bootstrap CSS Framework. We are calling,Pavan,"Jan 6, 2014",https://www.opencodez.com/free-wordpress-themes/preview-free-premium-wordpress-theme-aadya.htm
Top 5 Best Responsive CSS Frameworks for Web Design,"After developing two WordPress themes based on responsive css frameworks, I believe I should put in my opinion on which framework I felt is more user friendly. I have developed",Pavan,"Nov 27, 2013",https://www.opencodez.com/web-development/top-5-best-responsive-css-framework-for-web-design.htm
React Native:Tutorial #4 – React Native UI Components,Empty,Pavan,Sep 3,https://www.opencodez.com/react-native/react-native-ui-components.htm
Web Scraping Using Beautiful Soup Word Cloud + Python – Tutorial Part 2,Empty,Rounak,Jun 24,https://www.opencodez.com/web-development/web-scraping-using-beautiful-soup-word-cloud-part-2.htm
Simplest and Easy way to Upload and Download Files in Java with Spring Boot,Empty,Pavan,Aug 1,https://www.opencodez.com/java/file-upload-and-download-in-java-spring-boot.htm
Chain of Responsibility – Behavioral Design Pattern,Empty,Supriya,Aug 1,https://www.opencodez.com/java/chain-of-responsibility-pattern.htm
ReactJS Tutorial# 3 – Component State and Lifecycle,Empty,Pavan,Nov 16,https://www.opencodez.com/reactjs/reactjs-component-state-and-lifecycle.htm
Spring Scheduled Tasks – 3 Ways To Use Spring Scheduler,Empty,Pavan,Jan 26,https://www.opencodez.com/java/using-spring-scheduled-tasks.htm
Simple Guide to Use DataTable with Spring Boot – Example With Source Code,Empty,Pavan,Feb 4,https://www.opencodez.com/java/datatable-with-spring-boot.htm
How to become an Efficient and Good Programmer,Empty,Pavan,Dec 21,https://www.opencodez.com/how-to-guide/how-to-become-a-good-programmer.htm
Easy Way to Configure Quartz Scheduler with Spring Boot – Example With Source Code,Empty,Pavan,Sep 26,https://www.opencodez.com/java/quartz-scheduler-with-spring-boot.htm
"ReactJS Tutorial# 4 – Forms, Events and Keys",Empty,Pavan,Nov 20,https://www.opencodez.com/reactjs/reactjs-tutorial-4-forms-events-keys.htm
How to Install WordPress Locally using XAMPP,Few days back one of my friend asked me How to Install WordPress Locally using XAMPP. He was trying to setup a local website to try out some design and content,Pavan,"Oct 24, 2013",https://www.opencodez.com/web-development/how-to-install-wordpress-locally-using-xampp.htm
Openstrap – Responsive WordPress Theme,"Twitter Bootstrap is powerful front-end framework for faster and easier web development. Its fully responsive, sleek and intuitive. Opencodez has taken efforts to bring a responsive wordpress theme using this framework. As",Pavan,"Sep 20, 2013",https://www.opencodez.com/free-wordpress-themes/openstrap-responsive-wordpress-theme.htm
Free Simple WordPress Theme – Awakening,Opencodez Team release another free wordpress theme Awakening. The theme is developed on top of Zurbs Foundation Responsive Framework that means the theme will look great on any device be,Pavan,"Aug 27, 2013",https://www.opencodez.com/web-development/free-simple-wordpress-theme.htm
How to add a Widget to WordPress,Many WordPress Themes come Widget Ready that boosts functionality of a site considerably. These widget ready platform saves a lot of time of webmaster to search for plugins and install,Pavan,"Jul 3, 2013",https://www.opencodez.com/web-development/how-to-add-a-widget-to-wordpress.htm
Write Config File in Java,Most of the time we use properties file only to load some fairly static values that are used across the project. Some one once asked me whether I have any,Pavan,"Jun 25, 2013",https://www.opencodez.com/java/write-config-file-in-java.htm
How to add Options Framework to WordPress Theme,"When a WordPress Theme developer takes up any new theme development, he has to think about some neat and unique design and what all features he is going to offer",Pavan,"Jun 6, 2013",https://www.opencodez.com/web-development/how-to-add-options-framework-to-wordpress-theme.htm
Build a Web service using PHP,"Web services provide a standard means of communication between different software applications, running on a variety of platforms and/or frameworks. Web services plays important role in any SOA architecture. I",Pavan,"Apr 10, 2013",https://www.opencodez.com/php/build-a-web-service-using-php.htm
Quartz – Java Job Scheduling Service,"Most of the Java Projects, Enterprise Applications need some form of scheduling every now and then. People try to implement in number of ways like Timer, EJB etc. In one",Pavan,"Feb 22, 2013",https://www.opencodez.com/java/quartz-java-job-scheduling-service.htm
Oracle SQL Command Handbook,Every developer works with database in some form or other. Either he directly gets involved with PL/SQL Programming where he writes huge procedures and functions or some times he ends,Pavan,"Feb 12, 2013",https://www.opencodez.com/oracle/oracle-sql-command-handbook.htm
Java Design Patterns List,Here is the list of Java Design Patterns. Each pattern is explained in detail with example and sample code. Hope you find this helpful. Creational Java Design Patterns Abstract Factory,Pavan,"Jul 3, 2010",https://www.opencodez.com/java/java-design-patterns-list.htm
Most important Core Java Interview Questions – I,"Being in IT industry for almost 15 years, I have come across some most important Core Java Interview questions, which are frequently asked in most of the interviews by MNCs. Based",Pavan,"May 24, 2010",https://www.opencodez.com/java/core-java-interview-questions-i.htm
Object oriented concepts – Java,Q: What are basic OOPS Concepts? A: – Inheritance : When a child class acquires all the methods and properties of parent class it is called inheritance. Java supports inheritance either,Pavan,"May 24, 2010",https://www.opencodez.com/java/polymorphism-in-java.htm
Simple Way to Configure LDAP Authentication using Spring Boot – Source Code on GitHub,Empty,Pavan,Oct 4,https://www.opencodez.com/java/configure-ldap-authentication-using-spring-boot.htm
Most important Core Java Interview Questions – I,Empty,Pavan,May 24,https://www.opencodez.com/java/core-java-interview-questions-i.htm
React Native:Tutorial #2 – React Native Props and State,Empty,Pavan,Aug 29,https://www.opencodez.com/react-native/react-native-props-and-state.htm
SQL For QA : Tutorial#1 – Select Query,Empty,Supriya,Apr 17,https://www.opencodez.com/software-testing/sql-for-qa-tutorial-select-query.htm
Simple Guide to Improve Code Quality With SonarLint,Empty,Rahul,Apr 26,https://www.opencodez.com/how-to-guide/improve-code-quality-with-sonarlint.htm
A Beginners Guide to Kotlin,Empty,Pavan,Jun 17,https://www.opencodez.com/java/beginners-guide-kotlin.htm
Object oriented concepts – Java,Empty,Pavan,May 24,https://www.opencodez.com/java/polymorphism-in-java.htm
Top 5 Best Responsive CSS Frameworks for Web Design,Empty,Pavan,Nov 27,https://www.opencodez.com/web-development/top-5-best-responsive-css-framework-for-web-design.htm
Simple Way to Implement Kafka with Java – Source Code on GitHub,Empty,Pavan,Dec 30,https://www.opencodez.com/java/using-apache-kafka-java.htm
Simple Guide to Use DataTable with Spring Boot – Example With Source Code,Empty,Pavan,Feb 4,https://www.opencodez.com/java/datatable-with-spring-boot.htm
Java Sorting using Comparator,"Lets see how we can sort our Employee objects using different criteria like id, name, salary. SortTest remains the main class that will perform creating and filling objects for us.",Pavan,"May 24, 2010",https://www.opencodez.com/java/java-sorting-using-comparator.htm
Java Sorting using Comparable,In Java you can do sorting by implementing 2 interfaces 1) Comparable 2) Comparator Here we will see sorting example using Comparable Interface. As an example we will be sorting,Pavan,"May 24, 2010",https://www.opencodez.com/java/java-sorting-using-comparable.htm
Get all urls from a web page – Simple Web Crawler,Here I’m going to post a class that will extract all valid URLs from a web page.  The example can be treated as a basic web crawler. My class uses,Pavan,"Jul 11, 2009",https://www.opencodez.com/java/get-all-urls-from-a-web-page.htm
How to Read Config File in Java – With Actual Class Example rovided,In my last post I mentioned “Config Class”couple of times.. here you will see actual class and its usage. The class is very simple. We just need to provide proper,Pavan,"Jul 11, 2009",https://www.opencodez.com/java/read-config-file-in-java.htm
Connect to MySQL in Java,"It’s been too long, I didnt get time to post anything OpenSource. So here I am again with one simple class Database, to connect to MySQL in Java. You can",Pavan,"Jul 7, 2009",https://www.opencodez.com/java/connect-to-mysql-in-java.htm
Using .htaccess in XAMPP on Windows,"I googled quiet some time on using custom links for your site on windows using XAMPP. All of them suggested me to uncomment line for ‘mod_rewrite’, set AllowOverride to All.",Pavan,"Apr 3, 2009",https://www.opencodez.com/apache/htaccess-in-xampp-windows.htm
Simple Logger,"If you are programming in PHP, I bet you are using “prints and dies” to debug your code. I know its the easiest way to debug any web based program.",Pavan,"Mar 17, 2009",https://www.opencodez.com/php/simple-logger.htm
How to generate image thumbnails in PHP,Thumbnails proves to be very useful in presenting various online and print media. Here I would like to share a simple function to generate image thumbnails in php. I used,Pavan,"Feb 17, 2009",https://www.opencodez.com/php/generate-image-thumbnails-in-php.htm
Create SSL Certificate and install in Xampp,"HTTPS, it’s a secure HTTP protocol. With the web becoming part of a day to day life people expect almost all application and services should be web enabled and it",Pavan,"Feb 14, 2009",https://www.opencodez.com/how-to-guide/ssl-certificate-and-install-in-xampp.htm
Note on Software Development,"Understand the requirements: It’s often the case that you (a developer) don’t gather requirements. It’s either project manager, lead or say module owner. Requirements are gathered and handed over to",Pavan,"Feb 13, 2009",https://www.opencodez.com/web-development/note-on-software-development.htm
Points you must check while installing XAMPP on Windows,"Xampp is the best option to run websites on windows. Very easy to install, manage. Good community, excellent support, nothing more is needed in Open Source Environment. It happens with",Pavan,"Feb 12, 2009",https://www.opencodez.com/web-server/installing-xampp-on-windows.htm
Sort your tables with out an extra server trip,"Name I need back my money Jack Bauer $10.00 Chuck Noris $19.00 Superman $32.12 Name Date Money Jack Bauer 22/05/1995 12,000 Chuck Noris 22/05/2010 8,500 TOTAL 21,500 ‘Table’ is",Pavan,"Feb 1, 2009",https://www.opencodez.com/java-script/sort-your-tables-with-out-an-extra-server-trip.htm
Automation Testing With Cypress – Simple and Easy Tutorial For Beginners,Empty,Pritam,Dec 13,https://www.opencodez.com/software-testing/automation-testing-with-cypress.htm
Simple Text Classification using Keras Deep Learning Python Library – Step By Step Guide,Empty,Pavan,Apr 30,https://www.opencodez.com/how-to-guide/text-classification-using-keras.htm
Top 5 Best JavaScript Frameworks in 2019,Empty,Shilpa,Aug 17,https://www.opencodez.com/java-script/5-best-javascript-frameworks-2017.htm
Salesforce Tutorial# 12: Salesforce MVC Architecture on Cloud,Empty,Renuka,Oct 12,https://www.opencodez.com/salesforce/visualforce-mvc-architecture-on-cloud.htm
Understanding Performance Improvement for Map in Java 8,Empty,Rahul,May 9,https://www.opencodez.com/java/java8-map-performance-improvements.htm
Top 5 Frameworks for Java Developers,Empty,Pavan,Jul 17,https://www.opencodez.com/java/top-5-frameworks-java-developers.htm
Build a Web service using PHP,Empty,Pavan,Apr 10,https://www.opencodez.com/php/build-a-web-service-using-php.htm
How Can Artificial Intelligence and Machine Learning Impact The Healthcare Industry,Empty,Rounak,Nov 18,https://www.opencodez.com/how-to-guide/how-can-artificial-intelligence-and-machine-learning-impact-the-healthcare-industry.htm
101 Most Important Frequently Asked Core Java Interview Questions to Ace an Interview – Part 1,Empty,Supriya,Mar 1,https://www.opencodez.com/java/101-core-java-interview-questions-to-ace-an-interview-part-1.htm
Oracle Job Scheduler Guide With Examples – Part 1,Empty,Pavan,Feb 28,https://www.opencodez.com/oracle/oracle-job-scheduler-guide-examples-part-1.htm
How to learn a Programming Language easily,Learning a programming language is as good as eating a cake! Basically all language have same fundamental pieces that one must understand.Â How to define variables How to call language,Pavan,"Dec 21, 2008",https://www.opencodez.com/how-to-guide/learning-a-programming-language.htm
How to become an Efficient and Good Programmer,"I have been in the Software Industry for more than 15 years now. From my experience in development,  I can tell you to become an efficient or good programmer, you",Pavan,"Dec 21, 2008",https://www.opencodez.com/how-to-guide/how-to-become-a-good-programmer.htm
Simple Guide to Spark Framework for Microservices,Empty,Pavan,Jan 18,https://www.opencodez.com/java/spark-framework-for-microservices.htm
How to Add a Shortcode in WordPress,Empty,Pavan,Apr 21,https://www.opencodez.com/wordpress-2/how-to-add-a-shortcode-in-wordpress.htm
Java Creational Design Patterns – Singleton Pattern,Empty,Supriya,Jun 26,https://www.opencodez.com/java/singleton-pattern.htm
Java Structural Design Patterns – Facade Pattern,Empty,Supriya,Oct 11,https://www.opencodez.com/java/facade-pattern.htm
Java Behavioral Design Patterns – Memento Design Pattern,Empty,Supriya,May 5,https://www.opencodez.com/java/memento-design-pattern.htm
51 Most Important ReactJS Interview Questions and Answers,Empty,Pavan,Apr 26,https://www.opencodez.com/web-development/51-important-reactjs-interview-questions-answers.htm
How to 301 Redirect Url in WordPress,Empty,Pavan,Jan 3,https://www.opencodez.com/wordpress/301-redirect-url-wordpress.htm
Top 8 Most Commonly asked HR Interview Questions With Answers,Empty,Shilpa,Mar 21,https://www.opencodez.com/how-to-guide/the-8-most-commonly-asked-hr-interview-questions.htm
10 Practical Reasons Why Software Testing / QA is a Good Career Option,Empty,Shilpa,Apr 23,https://www.opencodez.com/software-testing/10-practical-reasons-software-testing-good-career-option.htm
Free Simple WordPress Theme – Awakening,Empty,Pavan,Aug 27,https://www.opencodez.com/web-development/free-simple-wordpress-theme.htm
